Country,Rounded_Medals
USA,12
AUS,5
CHN,3
JPN,3
CAN,2
NED,2
FRA,2
GBR,2
ITA,1
TUN,1
RSA,1
SWE,1
POR,0
NZL,0
POL,0
PHI,0
PER,0
PAN,0
PRK,0
PAK,0
ALG,0
NOR,0
NGR,0
QAT,0
MOZ,0
MGL,0
MEX,0
MAR,0
LUX,0
LTU,0
LCA,0
LAT,0
PUR,0
SCG,0
ROC,0
TPE,0
YUG,0
VIE,0
VEN,0
UZB,0
URU,0
UKR,0
UGA,0
UAE,0
TUR,0
TTO,0
TJK,0
ROU,0
THA,0
TCH,0
SYR,0
SVK,0
SUR,0
SUI,0
SRB,0
SLO,0
SGP,0
KOR,0
KOS,0
JOR,0
KEN,0
BRN,0
DEN,0
CZE,0
CUB,0
CRO,0
CRC,0
COL,0
CMR,0
CIV,0
CHI,0
BUL,0
BRA,0
DOM,0
BOT,0
BLR,0
BER,0
BEL,0
BDI,0
BAH,0
AZE,0
AUT,0
ARM,0
ARG,0
DMA,0
ECU,0
KAZ,0
HAI,0
ANZ,0
JAM,0
ISR,0
IRL,0
IRI,0
IOA,0
IND,0
INA,0
HUN,0
HKG,0
GUA,0
EGY,0
GRN,0
GRE,0
GER,0
GEO,0
FIN,0
FIJ,0
EUN,0
ETH,0
EST,0
ESP,0
ZIM,0
